time,cost,duration
2329200,0.221,3600
2332800,0.171,3600
2336400,0.144,3600
2340000,0.138,3600
2343600,0.152,3600
2347200,0.183,3600
2350800,0.271,3600
2354400,0.466,3600
2358000,0.533,3600
2361600,0.28,3600
2365200,0.116,3600
2368800,0.04,3600
2372400,0.02,3600
2376000,0.011,3600
2379600,0.019,3600
2383200,0.026,3600
2386800,0.063,3600
2390400,0.096,3600
2394000,0.236,3600
2397600,0.493,3600
2401200,0.662,3600
2404800,0.536,3600
2408400,0.412,3600
2412000,0.29,3600
2415600,0.221,3600
2419200,0.171,3600
2422800,0.144,3600
2426400,0.138,3600
2430000,0.152,3600
2433600,0.183,3600
2437200,0.271,3600
2440800,0.466,3600
2444400,0.533,3600
2448000,0.28,3600
2451600,0.116,3600
2455200,0.04,3600
2458800,0.02,3600
2462400,0.011,3600
2466000,0.019,3600
2469600,0.026,3600
2473200,0.063,3600
2476800,0.096,3600
2480400,0.236,3600
2484000,0.493,3600
2487600,0.662,3600
2491200,0.536,3600
2494800,0.412,3600
2498400,0.29,3600
2502000,0.221,3600
2505600,0.171,3600
2509200,0.144,3600
2512800,0.138,3600
2516400,0.152,3600
2520000,0.183,3600
2523600,0.271,3600
2527200,0.466,3600
2530800,0.533,3600
2534400,0.28,3600
2538000,0.116,3600
2541600,0.04,3600
2545200,0.02,3600
2548800,0.011,3600
2552400,0.019,3600
2556000,0.026,3600
2559600,0.063,3600
2563200,0.096,3600
2566800,0.236,3600
2570400,0.493,3600
2574000,0.662,3600
2577600,0.536,3600
2581200,0.412,3600
2584800,0.29,3600
2588400,0.221,3600
2592000,0.171,3600
2595600,0.144,3600
2599200,0.138,3600
2602800,0.152,3600
2606400,0.183,3600
2610000,0.271,3600
2613600,0.466,3600
2617200,0.533,3600
2620800,0.28,3600
2624400,0.116,3600
2628000,0.04,3600
2631600,0.02,3600
2635200,0.011,3600
2638800,0.019,3600
2642400,0.026,3600
2646000,0.063,3600
2649600,0.096,3600
2653200,0.236,3600
2656800,0.493,3600
2660400,0.662,3600
2664000,0.536,3600
2667600,0.412,3600
2671200,0.29,3600
2674800,0.221,3600
2678400,0.171,3600
2682000,0.144,3600
2685600,0.138,3600
2689200,0.152,3600
2692800,0.183,3600
2696400,0.271,3600
2700000,0.466,3600
2703600,0.533,3600
2707200,0.28,3600
2710800,0.116,3600
2714400,0.04,3600
2718000,0.02,3600
2721600,0.011,3600
2725200,0.019,3600
2728800,0.026,3600
2732400,0.063,3600
2736000,0.096,3600
2739600,0.236,3600
2743200,0.493,3600
2746800,0.662,3600
2750400,0.536,3600
2754000,0.412,3600
2757600,0.29,3600
2761200,0.221,3600
2764800,0.171,3600
2768400,0.144,3600
2772000,0.138,3600
2775600,0.152,3600
2779200,0.183,3600
2782800,0.271,3600
2786400,0.466,3600
2790000,0.533,3600
2793600,0.28,3600
2797200,0.116,3600
2800800,0.04,3600
2804400,0.02,3600
2808000,0.011,3600
2811600,0.019,3600
2815200,0.026,3600
2818800,0.063,3600
2822400,0.096,3600
2826000,0.236,3600
2829600,0.493,3600
2833200,0.662,3600
2836800,0.536,3600
2840400,0.412,3600
2844000,0.29,3600
2847600,0.221,3600
2851200,0.171,3600
2854800,0.144,3600
2858400,0.138,3600
2862000,0.152,3600
2865600,0.183,3600
2869200,0.271,3600
2872800,0.466,3600
2876400,0.533,3600
2880000,0.28,3600
2883600,0.116,3600
2887200,0.04,3600
2890800,0.02,3600
2894400,0.011,3600
2898000,0.019,3600
2901600,0.026,3600
2905200,0.063,3600
2908800,0.096,3600
2912400,0.236,3600
2916000,0.493,3600
2919600,0.662,3600
2923200,0.536,3600
2926800,0.412,3600
2930400,0.29,3600
2934000,0.221,3600
2937600,0.171,3600
2941200,0.144,3600
2944800,0.138,3600
2948400,0.152,3600
2952000,0.183,3600
2955600,0.271,3600
2959200,0.466,3600
2962800,0.533,3600
2966400,0.28,3600
2970000,0.116,3600
2973600,0.04,3600
2977200,0.02,3600
2980800,0.011,3600
2984400,0.019,3600
2988000,0.026,3600
2991600,0.063,3600
2995200,0.096,3600
2998800,0.236,3600
3002400,0.493,3600
3006000,0.662,3600
3009600,0.536,3600
3013200,0.412,3600
3016800,0.29,3600
3020400,0.221,3600
3024000,0.171,3600
3027600,0.144,3600
3031200,0.138,3600
3034800,0.152,3600
3038400,0.183,3600
3042000,0.271,3600
3045600,0.466,3600
3049200,0.533,3600
3052800,0.28,3600
3056400,0.116,3600
3060000,0.04,3600
3063600,0.02,3600
3067200,0.011,3600
3070800,0.019,3600
3074400,0.026,3600
3078000,0.063,3600
3081600,0.096,3600
3085200,0.236,3600
3088800,0.493,3600
3092400,0.662,3600
3096000,0.536,3600
3099600,0.412,3600
3103200,0.29,3600
3106800,0.221,3600
3110400,0.171,3600
3114000,0.144,3600
3117600,0.138,3600
3121200,0.152,3600
3124800,0.183,3600
3128400,0.271,3600
3132000,0.466,3600
3135600,0.533,3600
3139200,0.28,3600
3142800,0.116,3600
3146400,0.04,3600
3150000,0.02,3600
3153600,0.011,3600
3157200,0.019,3600
3160800,0.026,3600
3164400,0.063,3600
3168000,0.096,3600
3171600,0.236,3600
3175200,0.493,3600
3178800,0.662,3600
3182400,0.536,3600
3186000,0.412,3600
3189600,0.29,3600
3193200,0.221,3600
3196800,0.171,3600
3200400,0.144,3600
3204000,0.138,3600
3207600,0.152,3600
3211200,0.183,3600
3214800,0.271,3600
3218400,0.466,3600
3222000,0.533,3600
3225600,0.28,3600
3229200,0.116,3600
3232800,0.04,3600
3236400,0.02,3600
3240000,0.011,3600
3243600,0.019,3600
3247200,0.026,3600
3250800,0.063,3600
3254400,0.096,3600
3258000,0.236,3600
3261600,0.493,3600
3265200,0.662,3600
3268800,0.536,3600
3272400,0.412,3600
3276000,0.29,3600
3279600,0.221,3600
3283200,0.171,3600
3286800,0.144,3600
3290400,0.138,3600
3294000,0.152,3600
3297600,0.183,3600
3301200,0.271,3600
3304800,0.466,3600
3308400,0.533,3600
3312000,0.28,3600
3315600,0.116,3600
3319200,0.04,3600
3322800,0.02,3600
3326400,0.011,3600
3330000,0.019,3600
3333600,0.026,3600
3337200,0.063,3600
3340800,0.096,3600
3344400,0.236,3600
3348000,0.493,3600
3351600,0.662,3600
3355200,0.536,3600
3358800,0.412,3600
3362400,0.29,3600
3366000,0.221,3600
3369600,0.171,3600
3373200,0.144,3600
3376800,0.138,3600
3380400,0.152,3600
3384000,0.183,3600
